seed	right_key	vertex	rem0	rem1	equal_colour	alpha_hits	beta_hits
1	146502	3	11	5	6	4	4
6	100623	2	8	9	5	4	4
17	145899	3	11	2	5	3	5
18	141994	3	9	10	6	3	5
21	130430	3	5	7	6	3	5
25	168077	4	5	3	7	1	7
45	51532	1	4	10	12	3	5
49	12528	0	4	7	12	1	7
64	167866	4	5	2	6	5	3
90	26113	0	9	7	3	6	2
99	29897	0	10	12	7	4	4
104	222791	5	11	2	9	4	4
116	57397	1	6	12	11	4	4
120	176068	4	8	2	4	6	2
123	67454	1	10	8	2	6	2
124	182807	4	10	8	9	4	4
128	133445	3	6	8	11	2	6
191	132420	3	6	3	8	3	5
192	185310	4	11	7	6	4	4
219	21047	0	7	9	5	3	5
238	6844	0	2	6	12	5	3
266	50115	1	4	3	9	6	2
296	16976	0	6	2	8	5	3
