seed	missing_eq_right	def_eq	def_off	def_full
1	1	1	0	1
6	1	1	0	1
17	1	1	0	1
18	1	1	0	1
21	1	1	0	1
25	1	1	0	1
45	1	1	0	1
49	1	1	0	1
64	1	1	0	1
90	1	1	0	1
99	1	1	0	1
104	1	1	0	1
116	1	1	0	1
120	1	1	0	1
123	1	1	0	1
124	1	1	0	1
128	1	1	0	1
191	1	1	0	1
192	1	1	0	1
219	1	1	0	1
238	1	1	0	1
266	1	1	0	1
296	1	1	0	1
306	1	1	0	1
328	1	1	0	1
331	1	1	0	1
340	1	1	0	1
352	1	1	0	1
355	1	1	0	1
366	1	1	0	1
380	1	1	0	1
390	1	1	0	1
422	1	1	0	1
426	1	1	0	1
436	1	1	0	1
466	1	1	0	1
476	1	1	0	1
490	1	1	0	1
542	1	1	0	1
548	1	1	0	1
554	1	1	0	1
558	1	1	0	1
571	1	1	0	1
576	1	1	0	1
600	1	1	0	1
605	1	1	0	1
618	1	1	0	1
625	1	1	0	1
632	1	1	0	1
640	1	1	0	1
642	1	1	0	1
649	1	1	0	1
655	1	1	0	1
662	1	1	0	1
663	1	1	0	1
675	1	1	0	1
687	1	1	0	1
707	1	1	0	1
713	1	1	0	1
727	1	1	0	1
734	1	1	0	1
741	2	2	0	2
750	1	1	0	1
752	1	1	0	1
784	1	1	0	1
800	1	1	0	1
806	1	1	0	1
818	1	1	0	1
821	1	1	0	1
842	1	1	0	1
848	1	1	0	1
862	1	1	0	1
866	1	1	0	1
882	1	1	0	1
893	1	1	0	1
898	1	1	0	1
913	1	1	0	1
943	1	1	0	1
967	1	1	0	1
982	1	1	0	1
988	1	1	0	1
1002	1	1	0	1
1030	1	1	0	1
1044	1	1	0	1
1047	1	1	0	1
1055	1	1	0	1
1056	1	1	0	1
1077	1	1	0	1
1140	1	1	0	1
1153	1	1	0	1
1185	1	1	0	1
1204	1	1	0	1
1220	1	1	0	1
1229	1	1	0	1
1250	1	1	0	1
1251	1	1	0	1
1303	1	1	0	1
1309	1	1	0	1
1313	1	1	0	1
1332	1	1	0	1
1342	1	1	0	1
1345	1	1	0	1
1367	1	1	0	1
1370	1	1	0	1
1372	1	1	0	1
1392	1	1	0	1
1412	1	1	0	1
1425	1	1	0	1
1438	1	1	0	1
1440	2	2	0	2
1468	1	1	0	1
1470	1	1	0	1
1487	1	1	0	1
1500	1	1	0	1
1502	2	2	0	2
1507	1	1	0	1
1518	1	1	0	1
1530	1	1	0	1
1532	1	1	0	1
1562	1	1	0	1
1582	1	1	0	1
1585	1	1	0	1
1590	1	1	0	1
1601	1	1	0	1
1631	1	1	0	1
1635	1	1	0	1
1636	1	1	0	1
1638	1	1	0	1
1641	1	1	0	1
1643	1	1	0	1
1668	1	1	0	1
1671	1	1	0	1
1689	1	1	0	1
1704	1	1	0	1
1717	1	1	0	1
1719	1	1	0	1
1729	1	1	0	1
1733	1	1	0	1
1734	1	1	0	1
1744	1	1	0	1
1746	2	2	0	2
1751	1	1	0	1
1762	1	1	0	1
1765	1	1	0	1
1770	1	1	0	1
1833	1	1	0	1
1835	1	1	0	1
1838	1	1	0	1
1853	1	1	0	1
1855	1	1	0	1
1891	1	1	0	1
1905	1	1	0	1
1920	1	1	0	1
1930	1	1	0	1
1959	1	1	0	1
1982	1	1	0	1
1996	1	1	0	1
