seed	tail_id	a	b	c	alpha	beta
1	0	2	3	4	6	5
1	1	2	3	5	7	9
1	2	2	3	6	9	4
1	3	2	3	7	8	9
1	4	2	3	8	5	4
1	5	2	3	9	6	4
1	6	2	3	10	5	11
1	7	2	3	11	5	6
1	8	2	3	12	11	7
1	9	2	4	3	9	5
1	10	2	4	5	8	6
1	11	2	4	6	7	8
1	12	2	4	7	3	5
1	13	2	4	8	9	11
1	14	2	4	9	7	3
1	15	2	4	10	9	6
1	16	2	4	11	7	10
1	17	2	4	12	10	8
1	18	2	5	3	4	10
1	19	2	5	4	8	3
1	20	2	5	6	12	7
1	21	2	5	7	4	11
1	22	2	5	8	7	10
1	23	2	5	9	6	8
1	24	2	5	10	8	7
1	25	2	5	11	6	7
1	26	2	5	12	11	9
1	27	2	6	3	9	10
1	28	2	6	4	9	7
1	29	2	6	5	7	11
1	30	2	6	7	10	5
1	31	2	6	8	10	7
1	32	2	6	9	11	7
1	33	2	6	10	5	7
1	34	2	6	11	7	12
1	35	2	6	12	8	11
1	36	2	7	3	10	4
1	37	2	7	4	9	6
1	38	2	7	5	8	9
1	39	2	7	6	11	5
1	40	2	7	8	10	4
1	41	2	7	9	6	8
1	42	2	7	10	6	5
1	43	2	7	11	12	3
1	44	2	7	12	10	6
1	45	2	8	3	11	7
1	46	2	8	4	7	6
1	47	2	8	5	7	10
1	48	2	8	6	12	7
1	49	2	8	7	12	11
1	50	2	8	9	12	5
1	51	2	8	10	6	7
1	52	2	8	11	9	6
1	53	2	8	12	5	3
1	54	2	9	3	11	6
1	55	2	9	4	8	12
1	56	2	9	5	6	4
1	57	2	9	6	5	3
1	58	2	9	7	11	4
1	59	2	9	8	7	12
1	60	2	9	10	11	5
1	61	2	9	11	10	8
1	62	2	9	12	5	10
1	63	2	10	3	4	11
1	64	2	10	4	11	8
1	65	2	10	5	3	6
1	66	2	10	6	9	5
1	67	2	10	7	12	8
1	68	2	10	8	3	7
1	69	2	10	9	3	6
1	70	2	10	11	7	6
1	71	2	10	12	7	6
1	72	2	11	3	8	4
1	73	2	11	4	10	6
1	74	2	11	5	10	6
1	75	2	11	6	5	3
1	76	2	11	7	10	8
1	77	2	11	8	5	12
1	78	2	11	9	4	3
1	79	2	11	10	6	12
1	80	2	11	12	5	9
1	81	2	12	3	9	5
1	82	2	12	4	9	7
1	83	2	12	5	7	3
1	84	2	12	6	3	11
1	85	2	12	7	10	5
1	86	2	12	8	5	7
1	87	2	12	9	5	4
1	88	2	12	10	9	8
1	89	2	12	11	4	9
1	90	3	2	4	11	9
1	91	3	2	5	9	10
1	92	3	2	6	12	11
1	93	3	2	7	12	10
1	94	3	2	8	4	5
1	95	3	2	9	12	10
1	96	3	2	10	4	12
1	97	3	2	11	6	7
1	98	3	2	12	11	9
1	99	3	4	2	5	8
1	100	3	4	5	2	11
1	101	3	4	6	8	10
1	102	3	4	7	6	12
1	103	3	4	8	7	12
1	104	3	4	9	2	7
1	105	3	4	10	11	12
1	106	3	4	11	10	6
1	107	3	4	12	11	2
1	108	3	5	2	6	8
1	109	3	5	4	10	7
1	110	3	5	6	7	9
1	111	3	5	7	10	2
1	112	3	5	8	6	2
1	113	3	5	9	2	11
1	114	3	5	10	7	4
1	115	3	5	11	4	7
1	116	3	5	12	10	8
1	117	3	6	2	5	12
1	118	3	6	4	5	11
1	119	3	6	5	12	2
1	120	3	6	7	5	2
1	121	3	6	8	9	11
1	122	3	6	9	11	5
1	123	3	6	10	11	2
1	124	3	6	11	12	5
1	125	3	6	12	4	2
1	126	3	7	2	11	4
1	127	3	7	4	10	11
1	128	3	7	5	10	8
1	129	3	7	6	8	2
1	130	3	7	8	11	10
1	131	3	7	9	2	6
1	132	3	7	10	6	11
1	133	3	7	11	2	9
1	134	3	7	12	10	11
1	135	3	8	2	11	9
1	136	3	8	4	10	12
1	137	3	8	5	2	7
1	138	3	8	6	12	2
1	139	3	8	7	11	12
1	140	3	8	9	2	4
1	141	3	8	10	12	7
1	142	3	8	11	5	9
