tail_id	a	b	c	alpha	beta
0	2	3	4	6	7
1	2	3	5	7	11
2	2	3	6	8	11
3	2	3	7	8	11
4	2	3	8	5	12
5	2	3	9	4	11
6	2	3	10	8	9
7	2	3	11	9	12
8	2	3	12	8	11
9	2	4	3	6	9
10	2	4	5	3	9
11	2	4	6	3	7
12	2	4	7	6	10
13	2	4	8	11	12
14	2	4	9	3	5
15	2	4	10	11	12
16	2	4	11	3	8
17	2	4	12	6	8
18	2	5	3	9	12
19	2	5	4	7	12
20	2	5	6	3	4
21	2	5	7	9	11
22	2	5	8	3	12
23	2	5	9	3	10
24	2	5	10	11	12
25	2	5	11	6	10
26	2	5	12	6	7
27	2	6	3	7	11
28	2	6	4	3	7
29	2	6	5	3	7
30	2	6	7	5	12
31	2	6	8	5	10
32	2	6	9	8	12
33	2	6	10	3	5
34	2	6	11	4	5
35	2	6	12	9	10
36	2	7	3	6	12
37	2	7	4	6	8
38	2	7	5	8	12
39	2	7	6	4	9
40	2	7	8	4	12
41	2	7	9	6	8
42	2	7	10	3	12
43	2	7	11	6	9
44	2	7	12	5	10
45	2	8	3	6	11
46	2	8	4	5	6
47	2	8	5	7	12
48	2	8	6	3	10
49	2	8	7	6	9
50	2	8	9	10	11
51	2	8	10	5	12
52	2	8	11	3	12
53	2	8	12	10	11
54	2	9	3	6	8
55	2	9	4	5	11
56	2	9	5	3	7
57	2	9	6	5	8
58	2	9	7	3	10
59	2	9	8	4	6
60	2	9	10	4	7
61	2	9	11	5	10
62	2	9	12	3	10
63	2	10	3	6	12
64	2	10	4	5	7
65	2	10	5	4	9
66	2	10	6	4	9
67	2	10	7	3	12
68	2	10	8	6	7
69	2	10	9	3	6
70	2	10	11	5	8
71	2	10	12	6	8
72	2	11	3	9	12
73	2	11	4	3	9
74	2	11	5	8	9
75	2	11	6	3	12
76	2	11	7	5	10
77	2	11	8	7	9
78	2	11	9	8	10
79	2	11	10	6	8
80	2	11	12	4	9
81	2	12	3	4	5
82	2	12	4	5	10
83	2	12	5	8	9
84	2	12	6	3	10
85	2	12	7	3	10
86	2	12	8	3	4
87	2	12	9	7	8
88	2	12	10	5	6
89	2	12	11	4	6
90	3	2	4	10	12
91	3	2	5	7	8
92	3	2	6	11	12
93	3	2	7	5	11
94	3	2	8	11	12
95	3	2	9	8	11
96	3	2	10	4	11
97	3	2	11	9	10
98	3	2	12	5	10
99	3	4	2	5	9
100	3	4	5	7	9
101	3	4	6	5	10
102	3	4	7	5	11
103	3	4	8	6	12
104	3	4	9	2	10
105	3	4	10	2	11
106	3	4	11	7	12
