tail_id	a	b	c	alpha	beta
0	2	3	4	11	12
1	2	3	5	4	12
2	2	3	6	10	11
3	2	3	7	11	12
4	2	3	8	11	12
5	2	3	9	11	12
6	2	3	10	11	12
7	2	3	11	10	12
8	2	3	12	10	11
9	2	4	3	11	12
10	2	4	5	3	12
11	2	4	6	3	12
12	2	4	7	3	12
13	2	4	8	5	7
14	2	4	9	3	12
15	2	4	10	3	12
16	2	4	11	3	12
17	2	4	12	3	11
18	2	5	3	4	6
19	2	5	4	3	12
20	2	5	6	10	11
21	2	5	7	8	9
22	2	5	8	10	11
23	2	5	9	10	11
24	2	5	10	9	11
25	2	5	11	9	10
26	2	5	12	9	10
27	2	6	3	10	11
28	2	6	4	10	11
29	2	6	5	8	9
30	2	6	7	10	11
31	2	6	8	11	12
32	2	6	9	11	12
33	2	6	10	11	12
34	2	6	11	10	12
35	2	6	12	10	11
36	2	7	3	11	12
37	2	7	4	3	12
38	2	7	5	10	11
39	2	7	6	11	12
40	2	7	8	11	12
41	2	7	9	11	12
42	2	7	10	11	12
43	2	7	11	10	12
44	2	7	12	10	11
45	2	8	3	11	12
46	2	8	4	3	12
47	2	8	5	10	11
48	2	8	6	11	12
49	2	8	7	11	12
50	2	8	9	11	12
51	2	8	10	11	12
52	2	8	11	10	12
53	2	8	12	10	11
54	2	9	3	11	12
55	2	9	4	3	12
56	2	9	5	10	11
57	2	9	6	11	12
58	2	9	7	11	12
59	2	9	8	11	12
60	2	9	10	11	12
61	2	9	11	10	12
62	2	9	12	10	11
63	2	10	3	11	12
64	2	10	4	3	12
65	2	10	5	9	11
66	2	10	6	11	12
67	2	10	7	11	12
68	2	10	8	11	12
69	2	10	9	11	12
70	2	10	11	9	12
71	2	10	12	9	11
72	2	11	3	10	12
73	2	11	4	3	12
74	2	11	5	9	10
75	2	11	6	10	12
76	2	11	7	10	12
77	2	11	8	10	12
78	2	11	9	10	12
79	2	11	10	9	12
80	2	11	12	9	10
81	2	12	3	10	11
82	2	12	4	3	11
83	2	12	5	9	10
84	2	12	6	10	11
85	2	12	7	4	10
86	2	12	8	10	11
87	2	12	9	10	11
88	2	12	10	9	11
89	2	12	11	9	10
90	3	2	4	8	10
91	3	2	5	10	12
92	3	2	6	10	12
93	3	2	7	10	12
94	3	2	8	10	12
95	3	2	9	10	12
96	3	2	10	8	12
97	3	2	11	10	12
98	3	2	12	5	8
99	3	4	2	5	10
100	3	4	5	2	12
101	3	4	6	2	12
102	3	4	7	2	8
103	3	4	8	2	12
104	3	4	9	6	12
105	3	4	10	2	12
106	3	4	11	2	12
107	3	4	12	2	11
108	3	5	2	10	12
109	3	5	4	6	7
110	3	5	6	10	12
111	3	5	7	10	12
112	3	5	8	10	12
113	3	5	9	10	12
114	3	5	10	8	12
115	3	5	11	10	12
116	3	5	12	2	11
117	3	6	2	5	8
118	3	6	4	5	7
119	3	6	5	8	10
120	3	6	7	5	8
121	3	6	8	2	12
122	3	6	9	5	8
123	3	6	10	5	8
124	3	6	11	5	8
125	3	6	12	5	8
126	3	7	2	10	12
